DATE,BAMLC1A0C13Y,BAMLC2A0C35Y,BAMLC3A0C57Y,BAMLC4A0C710Y,BAMLC7A0C1015Y,BAMLC8A0C15PY
12/31/1996,0.47,0.5,0.58,0.62,0.65,0.69
1/1/1997,.,.,.,.,.,.
1/2/1997,0.48,0.51,0.58,0.61,0.64,0.7
1/3/1997,0.48,0.51,0.58,0.62,0.63,0.7
1/6/1997,0.48,0.51,0.58,0.62,0.64,0.71
1/7/1997,0.48,0.5,0.58,0.62,0.65,0.72
1/8/1997,0.47,0.5,0.58,0.6,0.64,0.71
1/9/1997,0.49,0.52,0.6,0.64,0.64,0.72
1/10/1997,0.6,0.63,0.71,0.76,0.76,0.82
1/13/1997,0.48,0.5,0.59,0.61,0.65,0.71
1/14/1997,0.47,0.5,0.59,0.63,0.63,0.72
1/15/1997,0.48,0.5,0.58,0.62,0.63,0.71
1/16/1997,0.48,0.5,0.58,0.59,0.63,0.72
1/17/1997,0.48,0.5,0.57,0.6,0.63,0.71
1/20/1997,0.48,0.5,0.57,0.6,0.63,0.71
1/21/1997,0.48,0.51,0.58,0.61,0.63,0.72
1/22/1997,0.48,0.49,0.57,0.59,0.63,0.71
1/23/1997,0.47,0.49,0.57,0.59,0.64,0.71
1/24/1997,0.47,0.49,0.56,0.6,0.65,0.72
1/27/1997,0.46,0.49,0.56,0.6,0.65,0.71
1/28/1997,0.47,0.49,0.56,0.6,0.64,0.71
1/29/1997,0.47,0.49,0.56,0.6,0.64,0.72
1/30/1997,0.47,0.5,0.57,0.6,0.64,0.72
1/31/1997,0.48,0.5,0.57,0.61,0.62,0.72
2/3/1997,0.48,0.51,0.58,0.61,0.6,0.72
2/4/1997,0.48,0.51,0.58,0.61,0.59,0.72
2/5/1997,0.48,0.5,0.57,0.61,0.59,0.72
2/6/1997,0.48,0.5,0.57,0.61,0.6,0.71
2/7/1997,0.48,0.5,0.58,0.62,0.63,0.71
2/10/1997,0.48,0.5,0.57,0.61,0.57,0.7
2/11/1997,0.48,0.5,0.57,0.61,0.58,0.7
2/12/1997,0.48,0.5,0.56,0.61,0.59,0.71
2/13/1997,0.49,0.51,0.57,0.59,0.6,0.7
2/14/1997,0.48,0.49,0.57,0.59,0.6,0.69
2/17/1997,.,.,.,.,.,.
2/18/1997,0.47,0.49,0.56,0.58,0.6,0.7
2/19/1997,0.47,0.49,0.56,0.58,0.6,0.72
2/20/1997,0.47,0.48,0.54,0.58,0.6,0.73
2/21/1997,0.48,0.48,0.55,0.58,0.6,0.73
2/24/1997,0.47,0.49,0.55,0.58,0.6,0.72
2/25/1997,0.47,0.48,0.55,0.58,0.6,0.72
2/26/1997,0.47,0.48,0.56,0.58,0.61,0.72
2/27/1997,0.48,0.48,0.54,0.57,0.6,0.72
2/28/1997,0.47,0.47,0.55,0.57,0.59,0.71
3/3/1997,0.44,0.45,0.53,0.55,0.57,0.71
3/4/1997,0.43,0.45,0.53,0.54,0.57,0.7
3/5/1997,0.44,0.45,0.52,0.54,0.56,0.7
3/6/1997,0.45,0.46,0.53,0.54,0.56,0.7
3/7/1997,0.45,0.46,0.53,0.54,0.56,0.7
